Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
00e2a4692367d37329fb9e908285f0ef	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			0.9983527473
0286bafc778be7760f0ff3e9199f9a25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9655334275
029fe291ffdcefce6a1c7d0638b32720	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999998643
037a29e02b3869580f26eb1ee864bee2	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	schaedleri	0.999999958
0444decea04265abf48bcb720b69520e	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9884166168
04692910cded1dfe19a643df3add7932	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7101202747
04b2416eedb298d15b0466c204905b20	Bacteria							0.9970636078
0626de7503c8146cfb3e9812dab13933	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9986995987
0643b14e2a83990419336aa49cb3b27e	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus		0.9999892933
064e3a4e42018bd008b3b5407633751c	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9989268846
07610e513315d3f9c82ebe73ef886e95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.768103104
0820b82d14921828dfa20b56242a48c3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9999302036
088394da3d7c5cbd1ee7fd629e988555	Bacteria							0.9985021779
08c92baa0290e451ea255f6020e44739	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella		0.9118558595
095f798bbd3b95e6d01ec0ccda2dcedc	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.9983725177
09afbe624f0052a0ec747022227a78eb	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9999999482
0a287bc1ce690fe0520c9d0cbad2cc64	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			0.9935305845
0a62e2eb4acf7fd70cad5878f0215a6f	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum		1
0b1e4030b63b5cceeebb601d78c02a5d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9998848212
0bff82b6e3ae25ec261841e06305bb21	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.9921658492
0c1f862c50a5580967d4bb76cb7053e5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9999338367
0d08f33d808f4e581ba4bbddbbbb13ea	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.8742802845
0d0974ccef9c30a10e88b6c32144ed58	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8546511495
0d183f39d90a67d33f4b950837408e4f	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9976440471
0d86650fe5e398d9b13a89fa25b6a69a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7650014958
0da5e2fc09c9a8837a0424004a8eaabf	Bacteria	Firmicutes	Clostridia	Clostridiales				0.7184753718
0dffae273072cfd3ce7e2dd66b26c353	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8111102784
0e7cd93b8079892022b6ed4b62810146	Bacteria	Firmicutes	Clostridia	Clostridiales				0.8041729947
0f56b92256ad85b9703fdfdf06a35518	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.7569572146
